zip,population,density,male,female,median_rent,median_age,median_income,white,black,hispanic,asian,crime_rate,crime,income,rent,bakery,meat,juices,cafe,chicken,foreign,vegetarian,hamburger,mixed,dessert,pizza,seafood,soup,sandwich
10001,27143,43681,0.47,0.53,2324,36.2,102432,0.54,0.07,0.18,0.17,5.89,7.794,4.630,4.800,3.806540176,3.46267412,3.359461266,6.369684019,2.346596421,7.055933464,6.138382313,7.019870071,6.260098631,9,7.903879453,3.527228804,1,4.765752429
10002,77312,87913,0.50,0.50,1072,44.2,37467,0.25,0.07,0.26,0.39,3.62,8.294,1.696,8.572,4.32549255,1,1.662695128,2.391464312,2.41830505,3.155328167,1.773144316,1.528369895,1.692526017,4.064005117,3.962472406,2.330904092,1.40397351,1.587597833
10003,54805,95073,0.50,0.50,2538,32.3,138920,0.66,0.05,0.08,0.17,3.10,8.409,6.278,4.155,2.389981206,2.626235164,5.907946355,5.305722308,2.333844236,5.232728391,7.180376892,3.981431135,3.279500046,7.123276742,5.369041754,3.503296102,1.569875011,2.554204577
10005,8693,118240,0.45,0.55,3585,30.6,199176,0.73,0.02,0.07,0.14,7.52,7.437,9.000,1.000,1,1,3.946870224,6.18956504,1,3.627058932,5.584020348,1,3.053014741,3.270834423,3.395183864,1,4.592775797,1
10009,60394,97947,0.51,0.49,1782,37.4,78333,0.51,0.07,0.24,0.13,1.82,8.691,3.542,6.433,1.63067457,1,2.272501053,1.861895773,2.210407215,2.747035932,2.979446082,2.352761312,1.295507122,2.307438728,3.240929011,1.567908827,1,1.658174954
10010,33411,85523,0.49,0.51,2574,36.4,132962,0.62,0.09,0.10,0.15,1.80,8.696,6.009,4.046,2.710018856,3.667559133,1.76672781,3.181157902,5.37588419,3.396109212,4.578063113,3.445262538,3.136644476,2.772502796,3.181157902,3.053113389,1.934781958,2.69960356
10011,52208,79296,0.51,0.49,2356,43.2,140748,0.69,0.04,0.14,0.09,0.96,8.881,6.361,4.703,2.823904382,1.853564762,2.962698656,3.725235809,3.800388191,4.053646412,3.289815099,2.56486873,1.683682851,5.537319254,5.586372459,4.284772996,2.196444989,1.652606358
10012,22415,69335,0.50,0.50,2464,35.6,118767,0.67,0.03,0.09,0.19,7.52,7.437,5.368,4.378,5.672970778,1,9,7.192678514,1,8.283892123,9,2.822410588,1.796201523,6.28405897,6.573410663,8.650744081,2.393352666,2.013347393
10013,29757,53879,0.49,0.51,1998,40.0,138959,0.54,0.03,0.08,0.31,4.37,8.130,6.280,5.782,9,2.497560543,4.013072554,6.830934271,1,7.520203124,5.687001751,2.372763831,2.799259718,5.643698809,2.749280281,6.763061753,2.049568169,2.144983457
10014,30011,52699,0.49,0.51,2649,39.6,137936,0.81,0.02,0.09,0.05,3.00,8.432,6.234,3.820,4.807499917,1,5.267958891,4.58458195,1,5.863347723,2.327809433,2.361145358,1,5.60439657,5.509635356,9,3.081370164,2.702939225
10016,57131,107354,0.48,0.52,2860,33.0,137807,0.61,0.04,0.12,0.17,9.28,7.050,6.228,3.185,2.000042709,2.950031904,1.896786083,2.457795826,3.559077675,3.764483536,2.395000574,3.145035095,1.93715446,1.691056121,3.915591652,1.600344571,2.093346869,2.490927549
10017,15616,48779,0.46,0.54,2669,41.1,137485,0.70,0.03,0.05,0.18,7.52,7.437,6.213,3.760,4.658647541,8.134174739,5.921326112,9,3.340590847,8.618792637,2.275899362,6.231728142,9,3.528222802,9,7.589066159,9,9
10019,44278,65112,0.54,0.46,2179,40.8,106602,0.56,0.04,0.18,0.19,1.13,8.843,4.818,5.237,4.225836759,4.019303656,3.024933375,4.056566843,3.476444284,7.089779686,4.149896362,6.535390036,4.224510076,6.349933683,6.407772107,3.323837055,3.821446316,3.436703637
10021,42763,110469,0.45,0.55,2496,45.0,137432,0.82,0.00,0.06,0.09,0.70,8.937,6.211,4.281,1.222674742,2.042090337,2.19809849,2.379551897,1,2.175637047,2.863708762,2.910498952,1,1.923245031,2.217251674,1,1,1.531164367
10022,33521,76817,0.46,0.54,2580,49.8,157831,0.77,0.01,0.09,0.10,7.52,7.437,7.132,4.028,2.988475284,4.323506838,3.674741207,4.002190998,2.090381154,6.463117221,3.37754774,2.218619174,4.726857791,3.944477139,5.969143721,4.069564069,1.931714448,3.879844656
10023,66324,135215,0.44,0.56,2457,43.7,137482,0.70,0.04,0.08,0.13,0.60,8.959,6.213,4.399,2.005000905,1.335948594,1.772484858,2.203412205,1,1.976880889,1.300410778,1.615905756,1.269085959,1.8929059,2.412701285,1,1,1.342473039
10024,64336,74996,0.44,0.56,2604,41.9,154722,0.77,0.02,0.12,0.06,0.62,8.955,6.992,3.956,2.184063666,1,1.796354851,1.593329465,1.568121529,1.892948389,1.92908066,2.904812236,1,2.534161561,2.294537014,2.066223754,1,1.706111099
10025,97555,129791,0.46,0.54,1731,40.4,104483,0.54,0.09,0.22,0.10,2.97,8.437,4.723,6.586,1.68326257,1.228398899,1.393887697,1.675867175,1.374667282,1.582827335,1.204238065,2.674925256,1.365882982,1.809404485,2.814169785,1.351578963,1.320147609,1.46566925
10026,39660,119337,0.47,0.53,1449,36.1,65694,0.22,0.49,0.19,0.06,6.05,7.760,2.971,7.436,1.960387292,1,1.322959441,1.699994397,4.686401076,1.522248899,1.502381353,1,1.449996398,2.49321964,1.524995798,2.729616022,1,1.143180672
10027,66272,76046,0.47,0.53,1386,31.3,59024,0.26,0.35,0.26,0.09,5.73,7.830,2.669,7.626,1.143684211,2.008636583,1.579818238,1.680723215,4.860675197,1.707245992,1,4.698334138,1.538594192,1.595737676,2.256719781,2.552614334,1,1.257056319
10028,48107,153124,0.44,0.56,2632,40.8,151299,0.82,0.01,0.08,0.07,0.42,9.000,6.837,3.872,2.583510092,1,1.266251719,2.226303402,2.519557098,2.425244592,1.82833868,1.849134915,1,3.872399972,3.596877793,1.712958316,1,1.590199498
10029,78171,94744,0.44,0.56,1063,38.8,34243,0.15,0.25,0.46,0.11,6.52,7.656,1.550,8.599,2.218129485,1.28503479,1.491559712,1.266356236,4.273012584,1.712661569,1,4.135382687,1.228305345,2.26263983,3.264028007,1.438759715,1,1.581140879
10030,31818,114065,0.45,0.55,1133,38.0,43266,0.10,0.54,0.29,0.03,13.20,6.187,1.958,8.388,1.29927211,1,1.402557402,1.2181295,2.148741802,1.14999461,1,1,1,1.620414974,1,3.155904564,1,1.178469591
10031,62207,95587,0.48,0.52,1659,35.8,57757,0.17,0.24,0.51,0.04,8.36,7.252,2.612,6.803,1.612293793,1,1.61770724,1.502065684,2.762695517,1.425019447,1,2.313335584,1,1.634666955,2.506197052,1.551357335,1,1.365138679
10032,60927,92669,0.49,0.51,1408,37.5,55614,0.15,0.13,0.65,0.04,7.88,7.358,2.515,7.560,1.937735979,1.365707396,1,1.227828202,3.399636724,1.427052377,1,1.67046356,1.585843949,1.97200077,2.537840366,2.125881324,1,1.279607339
10033,61138,101131,0.52,0.48,1578,37.3,72352,0.25,0.04,0.67,0.03,4.74,8.048,3.271,7.047,2.090249599,1,2.04751312,1.22704192,2.195677538,1.477351784,1.325892971,1.668149651,1.29191104,2.937292385,2.532532958,1.560997836,1,1.650165497
10034,43650,38754,0.47,0.53,1504,37.7,64495,0.18,0.05,0.71,0.03,3.21,8.386,2.917,7.270,1.654449485,1,1,1.238503246,3.51207331,1.766846776,1.456459208,1.935838106,1,1.904484015,2.192516228,1.785756832,1,1
10036,30637,69113,0.56,0.44,2249,40.1,99167,0.51,0.07,0.20,0.17,4.24,8.158,4.483,5.026,2.243233998,9,3.508451499,5.644028825,6.96511843,9,2.951017832,9,5.077683846,6.798977469,5.757297821,6.5975268,3.038841923,4.336286783
10037,19501,73871,0.44,0.56,1383,39.5,49274,0.08,0.66,0.19,0.04,11.28,6.609,2.229,7.635,1.488294959,2.142580101,1,1,4.748594089,1.386202688,1,1,1,2.012274429,1.533852965,2.758796252,1,1.291192526
10038,23509,78998,0.47,0.53,2700,35.5,100932,0.46,0.10,0.10,0.28,2.13,8.623,4.562,3.667,4.240372623,1.947784021,4.269021591,3.804637467,7.219008323,3.76962768,1.847524116,4.475208076,1.759149991,6.877857223,4.985537454,5.376828327,1,2.690834071
10039,27413,59197,0.46,0.54,1090,36.2,50670,0.09,0.52,0.33,0.02,8.03,7.325,2.292,8.518,1,1,1.467244425,1.25318077,9,1.108302353,1,2.490144579,1,1.72010957,2.139313464,3.502337264,1,1.414295805
10040,46071,122237,0.48,0.52,1535,40.0,55252,0.21,0.03,0.71,0.02,5.43,7.897,2.499,7.177,2.033431009,1,1.83405427,1.075323354,2.586710367,1.397844102,1,1,1,1.85695399,2.355820364,2.48893168,1,1.123256397
10128,58529,124353,0.44,0.56,2391,42.5,129209,0.68,0.05,0.13,0.10,0.51,8.979,5.840,4.598,1.325385365,1,1.218841453,1.59290646,1.624488145,1.757922654,1,1.697933218,1.609846645,2.686374587,2.956591319,1.586004984,1,1.388084229
10280,8638,62379,0.45,0.55,3585,45.5,179944,0.63,0.02,0.13,0.21,7.52,7.437,8.131,1.000,4.307098865,3.579469153,1,1.401739086,5.231380721,1.939928468,3.306603895,5.729026781,3.066086726,1,4.615651771,1,4.615651771,1.657391231
10301,38990,10626,0.48,0.52,1530,39.4,78840,0.45,0.18,0.26,0.07,8.46,7.229,3.564,7.192,1.488445242,2.142931754,1.657018283,1.089002878,3.812310849,1.862632668,1,1,1.457729088,2.518878967,1.801025904,1,1,1.728205367
10302,18263,15291,0.53,0.47,1614,35.8,74672,0.29,0.23,0.40,0.06,11.50,6.561,3.376,6.939,2.042790341,2.220032555,1.701339946,1.190013811,7.004051908,2.090202513,1,3.23672635,2.954427766,2.080893809,4.990290022,1,1,1.62186338
10303,27649,8813,0.49,0.51,1192,35.0,70584,0.16,0.31,0.39,0.10,10.13,6.863,3.192,8.211,1,1,1,1,2.321952572,1.221704424,1,6.909701376,1,3.14188907,1.753059182,1,1,1.205379777
10304,44137,11391,0.48,0.52,1264,39.2,65190,0.40,0.25,0.23,0.11,6.80,7.596,2.948,7.994,1.215742801,1,1,1.078623881,1.82811851,1.234214973,1,1.925512231,1,1.894504096,2.886973137,1,1,1.385971778
10305,44823,10542,0.49,0.51,1455,41.5,77608,0.57,0.06,0.15,0.19,4.91,8.011,3.509,7.418,2.062204672,1,1,1.154841141,1.815444452,1.570851084,1,2.822695194,1,2.76162806,3.55487882,1.76519389,1,1.380064618
10306,56171,7516,0.49,0.51,1474,42.9,89581,0.67,0.04,0.16,0.10,2.49,8.543,4.050,7.361,1.678089406,1,1.456056379,1.123559211,2.95211052,1.375178482,1,2.454463454,1,3.460033566,3.409404616,1,1.55601645,1.3032817
10307,14925,7606,0.51,0.49,1421,43.0,118654,0.85,0.00,0.12,0.03,7.52,7.437,5.363,7.521,1,1,1,1.232510702,1,1.557346579,1,3.736973758,1,1,5.18519263,1,1,1.380472057
10308,30552,15484,0.48,0.52,1700,43.2,117253,0.82,0.01,0.11,0.04,0.98,8.875,5.300,6.680,1.311673213,1,1.419238394,1,2.196342847,1.393879516,1,1,1,4.876740698,2.703761892,2.122619983,1,1.371729867
10309,36067,5368,0.50,0.50,1703,40.9,108584,0.86,0.00,0.08,0.03,1.39,8.786,4.908,6.671,1.52803061,1,2.065398128,1.384863972,3.026820455,1.502641545,1,2.132595817,1.494825107,3.73662401,3.597831813,1.950960316,1,1.314888705
10310,26146,14563,0.48,0.52,1468,38.8,97131,0.44,0.19,0.29,0.05,10.71,6.735,4.391,7.379,1.728389811,1.852193626,1,1.398174354,2.397944874,1.709650224,1,2.562354981,1,2.510010222,2.990871771,1,1,1.434372023
10312,64355,8379,0.49,0.51,1628,41.0,101892,0.79,0.01,0.12,0.07,1.40,8.784,4.606,6.897,1.443892782,1,1.199029934,1,1,1.235945602,1,2.269499909,1.27731889,3.453933791,3.10300158,1,1,1.176475657
10314,94352,6885,0.48,0.52,1539,42.5,95532,0.61,0.04,0.15,0.18,1.27,8.812,4.318,7.165,1.605535018,1.47230487,1.135753046,1.22067718,1.387386242,1.384496751,1.211171405,3.597676785,1,4.765967287,2.765417444,1,1,1.481477485
10451,50447,49708,0.45,0.55,1163,34.7,34287,0.04,0.37,0.56,0.01,8.33,7.259,1.552,8.298,1.377514619,1,1.253901549,1.2063684,4.622679908,2.071911275,1,3.429242571,2.061323199,4.130471764,3.476420798,2.35977504,1,1.787952072
10452,80363,81618,0.47,0.53,1271,32.5,34219,0.02,0.27,0.68,0.01,9.83,6.928,1.549,7.973,1.35547105,1,1.796919691,1,3.274097947,1.274202832,1,3.541551045,1.222078035,1.245639954,1.777273123,1.426792003,1,1.211983579
10453,80921,88342,0.47,0.53,1300,33.5,35212,0.02,0.24,0.69,0.02,11.49,6.562,1.594,7.885,1.470693145,1,1.158284888,1,5.51683329,1.239474353,1,1.504805098,1.441093341,1.487892232,2.029217797,1,1,1.140347881
10454,39163,37571,0.46,0.54,930,32.6,22066,0.03,0.26,0.70,0.00,36.77,1.000,1.000,9.000,1.243143784,1.568941464,1,1.088609714,3.799887649,1.580109712,1,2.04305935,1,2.008112945,2.594974849,1,1,1.289995427
10455,43062,60466,0.47,0.53,1118,31.9,31051,0.02,0.23,0.73,0.01,9.52,6.996,1.406,8.434,1.884514421,1.517427304,2.189779521,1,6.092749988,1.571490022,1,3.84585017,1.414445617,1.916834501,3.175839487,1.79648613,1,1.527476239
10456,90907,89260,0.46,0.54,1143,32.8,31480,0.02,0.38,0.58,0.01,12.65,6.308,1.425,8.358,1.209494098,1,1.422692579,1.038173322,3.010332904,1.208362196,1,1.449353002,1,1.217148994,1.687119804,1.377289821,1,1
10457,79965,75347,0.47,0.53,1284,30.9,38450,0.02,0.31,0.65,0.01,14.38,5.927,1.740,7.933,1.238160195,1,1.320354441,1.043396764,3.742499844,1.22837856,1,3.554200796,1,1.493725096,1.650951458,1,1,1.071012886
10458,87327,86550,0.48,0.52,1408,30.0,39159,0.07,0.16,0.72,0.03,10.76,6.723,1.772,7.560,1.54520595,1,1.440021005,1.55633551,3.511296621,1.524585632,1,2.403323142,1.61310444,1.904204365,3.861154053,1,1,1.325131142
10459,51640,63210,0.50,0.50,1201,33.5,37000,0.02,0.29,0.67,0.00,15.10,5.768,1.675,8.183,2.106379551,1,1,1,5.954583011,1.249592892,1,2.582081074,1,2.146806563,2.411205784,1,1,1.439856348
10460,60373,45894,0.48,0.52,1220,34.3,31822,0.03,0.26,0.67,0.01,15.74,5.629,1.441,8.126,1.157723486,1,1.212157279,1.057479705,3.42165648,1.17800349,1,1.676615927,1.591219822,2.634866881,2.724391146,1,1,1.470288494
